epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.348,3.5719,4.90916,4.22168,0.00132,0.03393,0.00018,3e-05,3.38796,4.83646,4.13139,0.00332593,0.00332593,0.0700667
2,191.641,3.55644,4.69165,4.06287,0.00128,0.04898,0.00027,4e-05,3.34368,4.68551,3.97579,0.00662929,0.00662929,0.0400367
3,266.577,3.42073,4.42226,3.86186,0.00298,0.09442,0.00057,0.00011,3.21564,5.67025,3.8497,0.00990266,0.00990266,0.00997673
4,339.838,3.12558,3.97582,3.4017,0.1299,0.11196,0.05807,0.01563,2.67884,3.68806,3.08598,0.009865,0.009865,0.009865
5,412.756,2.68759,3.28641,2.74504,0.26155,0.26428,0.18057,0.06917,2.2868,3.01937,2.52779,0.00982,0.00982,0.00982
6,485.943,2.37748,2.81425,2.37489,0.42339,0.35589,0.31858,0.14081,2.02124,2.46937,2.25617,0.009775,0.009775,0.009775
7,561.896,2.21913,2.52528,2.18897,0.48541,0.44018,0.42184,0.19269,1.91558,2.17852,2.11121,0.00973,0.00973,0.00973
8,635.522,2.10806,2.34982,2.07813,0.53866,0.48502,0.48026,0.2351,1.82428,1.96788,2.01609,0.009685,0.009685,0.009685
9,727.531,2.01929,2.17503,1.99534,0.57252,0.49937,0.51744,0.24726,1.7897,1.88764,1.96325,0.00964,0.00964,0.00964
10,801.4,1.97548,2.07762,1.93503,0.59732,0.54256,0.55937,0.28476,1.72259,1.74305,1.88322,0.009595,0.009595,0.009595
11,874.338,1.93172,1.98461,1.8791,0.66607,0.55803,0.6077,0.31131,1.6845,1.68665,1.84367,0.00955,0.00955,0.00955
12,945.84,1.89265,1.90842,1.83878,0.65014,0.57729,0.62007,0.31586,1.67128,1.62798,1.8152,0.009505,0.009505,0.009505
13,1019.94,1.86955,1.85011,1.80696,0.69133,0.58733,0.64683,0.34512,1.61615,1.54456,1.76435,0.00946,0.00946,0.00946
14,1091.35,1.8374,1.80848,1.79299,0.73517,0.59325,0.66699,0.35373,1.60943,1.5135,1.74832,0.009415,0.009415,0.009415
15,1162.77,1.80379,1.7666,1.7604,0.73847,0.62251,0.69369,0.37022,1.5852,1.44975,1.71913,0.00937,0.00937,0.00937
16,1234.3,1.79472,1.71916,1.73896,0.74367,0.62385,0.70049,0.37861,1.57083,1.39518,1.70686,0.009325,0.009325,0.009325
17,1306.81,1.7747,1.67406,1.71458,0.76314,0.64598,0.72181,0.38776,1.55075,1.37559,1.69538,0.00928,0.00928,0.00928
18,1379.07,1.76235,1.65455,1.71002,0.76353,0.66012,0.73254,0.39855,1.54342,1.33027,1.67584,0.009235,0.009235,0.009235
19,1450.4,1.74353,1.61434,1.68443,0.75602,0.67363,0.73858,0.40925,1.51954,1.3198,1.64968,0.00919,0.00919,0.00919
20,1521.59,1.72403,1.60384,1.66575,0.78038,0.66288,0.74089,0.41183,1.51947,1.29024,1.64891,0.009145,0.009145,0.009145
21,1592.86,1.72871,1.59218,1.66176,0.77459,0.6819,0.7509,0.4169,1.50915,1.28071,1.6208,0.0091,0.0091,0.0091
22,1663.62,1.71279,1.55586,1.63481,0.79441,0.68368,0.75959,0.42452,1.50665,1.26299,1.61014,0.009055,0.009055,0.009055
23,1733.72,1.69654,1.53254,1.63004,0.81352,0.68223,0.7687,0.42959,1.48654,1.23404,1.60039,0.00901,0.00901,0.00901
24,1804.25,1.68294,1.51163,1.6228,0.81474,0.6964,0.77165,0.44068,1.47462,1.20943,1.58516,0.008965,0.008965,0.008965
